127.0.0.1 - - [22/Mar/2020:14:16:03 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:40:17 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:43:31 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 3811
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:44:18 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 3829
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:47:20 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:47:23 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:47:24 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:47:40 +0530] "POST /rl.medicine/save HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:47:43 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:47:44 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:47:45 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:47:47 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:47:55 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:47:56 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:48:17 +0530] "POST /rl.medicine/save HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:48:19 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:48:21 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:48:24 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:48:27 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:05:49 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:05:50 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:05:52 +0530] "GET /rl.medicine/medicine_by_box HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:05:54 +0530] "POST /rl.medicine/show_medicine_box_list HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:07:46 +0530] "POST /rl.medicine/show_medicine_box_list HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:08:17 +0530] "POST /rl.medicine/show_medicine_box_list HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:08:31 +0530] "POST /rl.medicine/show_medicine_box_list HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:08:35 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:08:38 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:08:52 +0530] "POST /rl.medicine/save HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:08:53 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:08:54 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:08:56 +0530] "GET /rl.medicine/medicine_by_box HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:08:57 +0530] "POST /rl.medicine/show_medicine_box_list HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:09:20 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:09:22 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:09:30 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:09:32 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 2376
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:14:00 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:18:22 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:18:43 +0530] "POST /rl.medicine/save HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:23:25 +0530] "POST /rl.medicine/save HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:34:44 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:34:47 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:35:08 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:35:26 +0530] "POST /rl.medicine/save HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:35:29 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:35:30 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:35:32 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:35:33 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 3067
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:36:14 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:36:16 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:36:34 +0530] "POST /rl.medicine/save HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:36:37 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:36:38 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:36:39 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:36:44 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 3411
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:36:57 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:36:58 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:37:12 +0530] "POST /rl.medicine/save HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:37:13 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:37:16 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:37:18 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [22/Mar/2020:15:37:20 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 3411
