127.0.0.1 - - [14/Mar/2020:20:37:01 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:59:02 +0530] "GET /rl.medicine/medicine_by_box HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:59:04 +0530] "POST /rl.medicine/show_medicine_box_list HTTP/1.1" 200 1905
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:59:17 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:59:19 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:59:33 +0530] "POST /rl.medicine/save HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:59:34 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:59:35 +0530] "GET /rl.medicine/medicine_by_box HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:59:37 +0530] "POST /rl.medicine/show_medicine_box_list HTTP/1.1" 200 1905
0:0:0:0:0:0:0:1 - - [14/Mar/2020:21:00:17 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [14/Mar/2020:21:00:19 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [14/Mar/2020:21:11:08 +0530] "GET /rl.medicine/medicine_by_box HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [14/Mar/2020:21:11:11 +0530] "POST /rl.medicine/show_medicine_box_list HTTP/1.1" 200 1905
0:0:0:0:0:0:0:1 - - [14/Mar/2020:21:38:57 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
