127.0.0.1 - - [18/Apr/2020:10:08:13 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [18/Apr/2020:16:40:56 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 47110
0:0:0:0:0:0:0:1 - - [18/Apr/2020:17:02:17 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 3834
0:0:0:0:0:0:0:1 - - [18/Apr/2020:17:02:46 +0530] "POST /rl.medicine/save HTTP/1.1" 200 3866
0:0:0:0:0:0:0:1 - - [18/Apr/2020:17:03:17 +0530] "POST /rl.medicine/save HTTP/1.1" 200 3866
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:04:36 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:08:04 +0530] "GET /rl.medicine/home HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:08:05 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:08:08 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 49049
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:33:42 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 24400
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:34:10 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 49049
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:34:28 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 3243
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:34:39 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4612
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:35:17 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4652
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:36:13 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:36:24 +0530] "GET /rl.medicine/home HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:36:27 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:36:28 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 24400
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:36:47 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 3243
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:37:03 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:37:35 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4617
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:38:24 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:38:47 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4268
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:41:34 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 5022
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:47:18 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:48:35 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4266
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:48:54 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4617
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:49:30 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:49:56 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4279
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:56:13 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4965
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:00:24 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 5050
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:00:57 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:00:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:01:01 +0530] "POST /rl.medicine/login HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:01:03 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:01:05 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 3243
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:01:09 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 5050
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:01:52 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4615
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:03:07 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 5050
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:05:17 +0530] "GET /rl.medicine/home HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:05:20 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:05:21 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 49049
